Brand,Model,Body_Type,variant,No.of Seats,Price,Fuel_Type,location,gearbox_Type
Hyundai,Creta,SUV,1.5 E,5 Seater,₹13.01 L,Petrol,Delhi,Manual
Hyundai,Venue,SUV,1.2 E,5 Seater,₹9.06 L,Petrol,Delhi,Manual
Kia,Sonet,SUV,1.2 HTE(O),5 Seater,₹9.50 L,Petrol,Delhi,Manual
Kia,Syros,SUV,1.0 HTK Turbo,5 Seater,₹10.60 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Baleno (2022-2025),Hatchback,1.2 Sigma,5 Seater,₹7.58 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Brezza,SUV,LXi,5 Seater,₹9.76 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Grand Vitara,SUV,Sigma,5 Seater,₹13.11 L,Petrol,Delhi,Manual
Mahindra,XUV700,SUV,2.2 AX7 Luxury Pack 6 STR Diesel,7 Seater,₹27.44 L,Diesel,Delhi,Manual
Mahindra,Scorpio-N,SUV,2.0 Z2 Petrol (E),7 Seater,₹16.89 L,Petrol,Delhi,Manual
Tata,Punch,SUV,Pure,5 Seater,₹6.71 L,Petrol,Delhi,Manual
Tata,Nexon,SUV,1.2 Smart Plus,5 Seater,₹10.02 L,Petrol,Delhi,Manual
Tata,Curvv EV,SUV,Empowered Plus 55,5 Seater,₹22.35 L,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki Swift,Hatchback,LXi,5 Seater,₹7.31 L,Petrol,Delhi,Manual
Hyundai,Grand i10 Nios,Hatchback,1.2 Era,5 Seater,₹6.71 L,Petrol,Delhi,Manual
Hyundai,Aura,Sedan,1.2 E CNG,5 Seater,₹8.63 L,CNG,Delhi,Manual
Maruti Suzuki,Suzuki Wagon R,Hatchback,1.0 LXi,5 Seater,₹6.34 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Celerio,Hatchback,LXi,5 Seater,₹6.23 L,Petrol,Delhi,Manual
Honda,City,Sedan,1.5 SV-R,5 Seater,₹14.40 L,Petrol,Delhi,Manual
Renault,Kiger,SUV,RXE,5 Seater,₹7.08 L,Petrol,Delhi,Manual
Renault,Triber (2019-2025)MPV/MUV7,MPV/MUV,1.0 RXE,7 Seater,₹7.08 L,Petrol,Delhi,Manual
Renault,Kwid,Hatchback,1.0 RXL(O),5 Seater,₹5.76 L,Petrol,Delhi,Manual
Tata,Nexon EV,SUV,Fearless 45,5 Seater,₹15.87 L,Electric,Delhi,Automatic
Hyundai,i20 N Line,Hatchback,N8,5 Seater,₹13.25 L,Petrol,Delhi,Manual
Toyota,Glanza,Hatchback,V,5 Seater,₹11.10 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Ertiga (2022-2025)MPV/MUV7,MPV/MUV,VXi,7 Seater,₹11.66 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki XL6 (2022-2025),SUV,Zeta,6 Seater,₹13.61 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Alto K10,Hatchback,LXi (O) (2 Airbags),5 Seater,₹5.50 L,Petrol,Delhi,Manual
Hyundai,Venue N-Line,SUV,N6,5 Seater,₹14.15 L,Petrol,Delhi,Manual
